step,avg_reward,std_reward,bc_loss,ql_loss,actor_loss,critic_loss
2000,246.10812870661965,111.2127936056657,0.10663266705907881,-1.0009109423458575,-0.8942782765328884,1.8029199541658163
4000,209.9372544332726,68.35222177913161,0.06518092443421483,-0.9998936698436737,-0.9347127464413643,2.419871939778328
6000,284.55710929159665,171.39982411198332,0.05775207145139575,-1.000026752114296,-0.9422746810615062,2.8787441521883013
8000,16.66927221155812,3.1072036723031498,0.053650819927454,-1.0000902626514434,-0.9464394440054893,4.337970789790154
10000,17.242642609054634,7.088998128887806,0.050469508439302445,-0.9999599212110043,-0.9494904142916203,4.969011692643166
12000,2.8336813907251357,5.572136268000674,0.04798871104419231,-1.0000642196834086,-0.9520755101442337,5.6110599898099895
14000,305.7996077743053,886.2047453596504,0.046217048672959206,-1.000096943050623,-0.953879896402359,6.104599413990974
16000,9.658688781224857,3.7125731112044082,0.04476006341911852,-0.9999596421718597,-0.9551995797753334,7.05645574772358
18000,34.59772820413535,34.8901184641129,0.043526108095422386,-0.9999460547566413,-0.9564199469089508,7.39976971077919
20000,18.49719326882072,28.955385907967482,0.042490645570680496,-1.0000778766572476,-0.9575872318744659,7.662240757822991
22000,11.517160111232355,4.253006530151827,0.04148732971958816,-0.9999641846120357,-0.9584768559336663,8.324674714922905
24000,40.869088700026694,53.23663017056182,0.040542010501027105,-0.9999938177168369,-0.9594518076777458,9.1812441573143
26000,44.63829784844421,33.64273304211412,0.03971867948956788,-0.9999799777269364,-0.9602612984180451,9.292452110171318
28000,14.825862771377377,4.629704846071141,0.039046566041186455,-0.9999685402214528,-0.9609219745695591,9.721784705638886
30000,67.09610892916433,76.79823981147949,0.03828582977969199,-0.9999460686445236,-0.961660239726305,10.26536972117424
32000,129.34917158923656,132.00365282804543,0.03774784553144127,-0.9999682623147964,-0.9622204166948796,10.876874879598617
34000,228.9921914600754,463.39665378118895,0.03729788581840694,-1.0000306359827518,-0.9627327512800693,12.055313555717468
36000,102.07694621086208,148.15052345116416,0.036816687046550216,-1.0000086736679077,-0.9631919869184494,11.570772418618203
38000,182.12178461640403,165.56294740340115,0.03645496354438364,-1.000034626275301,-0.9635796630382538,11.677897535085679
40000,1632.7548470440338,2361.567100396241,0.03594264700356871,-0.9999981045424938,-0.964055458009243,11.18323256444931
42000,978.2847329378989,418.6272047285065,0.035617566563189026,-0.9999292989075184,-0.9643117319047451,13.392171428442001
44000,749.7379367801726,1899.9301343496213,0.0352730478188023,-1.000002070903778,-0.9647290235757828,11.58232250881195
46000,713.7525831782599,742.8388730445776,0.0349409117391333,-0.9999035868942737,-0.9649626757502556,11.694371371507644
48000,440.9286778659969,261.64227360737993,0.034589253841899335,-1.0000146762132645,-0.965425422757864,12.554768933296204
50000,2910.556818802089,2456.585887160596,0.034273559646680954,-0.9999522278606892,-0.9656786683797837,12.884012187957763
52000,995.5753429350485,1749.7671249937243,0.03405462515540421,-0.999994923055172,-0.9659402984678745,13.703781675338744
54000,313.71021528622964,354.80649692155697,0.03383472912851721,-0.9999940196275711,-0.9661592912375927,14.240107161045074
56000,123.25722920213654,7.653796977938034,0.03347495814133435,-1.0000199488699437,-0.9665449901223183,13.79229021549225
58000,3007.486659142046,2720.3022525710007,0.03336113022360951,-1.0000542251765727,-0.9666930957138539,13.800134382247926
60000,2014.1686371516596,1314.3753982743212,0.03312339390348643,-0.9999555085599422,-0.9668321151435375,12.962325913429261
62000,5885.230249348599,1495.5616227839785,0.03307140625733882,-0.9999337872564793,-0.9668623819947243,13.088395296812058
64000,1153.5869430555208,1797.4516970506384,0.03281203580833972,-0.9999842408001423,-0.9671722055077553,14.319860036373138
66000,2547.8516842074446,2509.717428671951,0.0326658805012703,-1.0000332357883452,-0.9673673558831215,14.296850939273835
68000,4161.27118878205,2733.5637623695093,0.032401980869472026,-0.9999579622447491,-0.9675559815764427,13.048144470930099
70000,2608.5240112599226,1556.8207363875617,0.03232725131418556,-0.9999957776665688,-0.9676685262620449,14.052794974803925
72000,2437.9842975826537,2819.1437563772483,0.032160504832863805,-0.9999436411559581,-0.9677831369340419,13.928344787836075
74000,3569.3176834656188,2621.2511463296332,0.0320262198029086,-0.9999543913900852,-0.9679281711578369,14.62968342590332
76000,4966.430894362987,2043.2200346563202,0.03194175266101956,-1.000010790348053,-0.9680690385401249,13.639810545444488
78000,6301.673816509946,662.402372906727,0.031812316887080666,-0.9999460194110871,-0.9681337036192417,14.393567342281342
80000,5482.380835951794,2465.554224240122,0.03167049173824489,-0.9999406683444977,-0.9682701776325703,13.894029232501984
82000,4862.709895449836,2635.2036518532495,0.03157028899528086,-1.0000774372518062,-0.9685071487426757,14.824185556173324
84000,4254.329668001298,3066.0240714655993,0.03140930377319455,-1.0000211670994759,-0.9686118641793728,14.678816140890122
86000,6395.1286160965565,156.45657576992943,0.031463468708097936,-1.0000073093473911,-0.9685438405573368,13.988103614807128
88000,5553.480869835328,1204.9035689774005,0.031202947911806403,-1.0000311862528324,-0.9688282390832901,14.009876499176025
90000,6408.011814958241,244.05079654453974,0.031162085480988026,-0.9998975658118725,-0.9687354809939861,14.383484066486359
92000,5799.325091192467,1552.1623305078351,0.031116951810196043,-0.9999634927213192,-0.968846541851759,14.915545393705369
94000,6415.8692046649785,604.2035380360319,0.03103937544114888,-1.0000024130344392,-0.9689630384147168,13.948255838632583
96000,6650.300870447211,641.1174391638306,0.030917411255650222,-1.000013279736042,-0.969095869332552,13.549523944616318
98000,6500.627388124829,816.2626602771315,0.030803234790451824,-1.0000568105280399,-0.9692535762488842,14.46760889148712
