Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.04756553344786167,-0.9999693758475781,-0.9539339268887043,22.756487874070107
4493.466436590259,0.9784707805063846
100,0.03383338364496827,-1.0000027008020878,-0.9672738319396973,31.15598226849556
4890.9965888494,1.0650659978399515
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.04766786789014935,-0.9999601314139366,-0.9538263439428807,22.8869265528056
4453.2094415685515,0.9697014753020121
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.04870746016073972,-0.9999669963514805,-0.9512707695746422,22.359696915908753
233.27015195440882,0.050459103768943935
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.04855764065925032,-0.9999693827664852,-0.9514175902283192,22.452697699899375
225.6367467068419,0.04879629559539602
100,0.03391629808571189,-1.000004275497198,-0.9660879779684544,33.010483357963565
172.95815929004792,0.03732115666503157
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.04855764065925032,-0.9999693827664852,-0.9514175902283192,22.452697699899375
225.6367467068419,0.04879629559539602
100,0.03391629808571189,-1.000004275497198,-0.9660879779684544,33.010483357963565
172.95815929004792,0.03732115666503157
